Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels]
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,part,0,37912,4157.916,0.135,-1.061,0.756,0.637,277.033,274.502,219.707
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,1,80,34.971,0.8,-1.377,0.879,0.635,13.671,8.206,10.093
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,2,91,45.142,0.955,-1.493,0.835,0.495,21.3,6.305,10.764
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,3,199,74.077,0.961,-1.414,0.881,0.503,32.09,8.867,15.918
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,4,195,63.42,0.904,1.545,0.911,0.602,25.611,10.962,15.757
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,5,157,54.32,0.891,0.864,0.935,0.486,21.98,9.982,14.139
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,6,172,67.249,0.96,-1.425,0.887,0.538,29.381,8.273,14.799
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,7,345,73.355,0.215,1.311,0.956,0.652,22.251,21.729,20.959
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,8,365,77.355,0.506,1.107,0.941,0.635,24.41,21.061,21.558
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,9,290,80.876,0.919,-0.945,0.924,0.42,32.35,12.729,19.216
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,10,351,80.355,0.721,0.09,0.926,0.576,27.038,18.732,21.14
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,11,456,88.083,0.662,0.854,0.952,0.582,29.256,21.936,24.096
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,12,2,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.596
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,13,350,88.77,0.911,-1.436,0.916,0.556,35.05,14.439,21.11
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,14,147,62.734,0.959,-1.045,0.88,0.353,27.319,7.696,13.681
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,15,3,1.207,0.974,0.491,0.75,0.5,3.677,0.837,1.954
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,16,379,101.355,0.946,0.067,0.922,0.576,41.334,13.445,21.967
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,17,259,89.077,0.969,0.039,0.875,0.561,38.722,9.605,18.16
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,18,596,103.154,0.761,-1.432,0.948,0.588,36.155,23.446,27.547
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,19,611,116.569,0.892,-1.288,0.929,0.511,44.171,19.998,27.892
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,20,256,72.527,0.89,0.431,0.928,0.558,28.261,12.896,18.054
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,21,384,86.355,0.8,0.352,0.93,0.563,30.425,18.244,22.112
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,22,362,77.012,0.752,0.775,0.94,0.603,27.52,18.145,21.469
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,23,608,114.669,0.894,-1.326,0.938,0.563,44.088,19.777,27.823
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,24,439,84.184,0.463,0.369,0.963,0.649,26.454,23.452,23.642
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,25,190,60.592,0.911,-0.194,0.909,0.633,25.159,10.361,15.554
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,26,339,81.012,0.863,1.063,0.929,0.531,30.803,15.558,20.776
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,27,374,79.941,0.778,1.324,0.947,0.645,28.815,18.09,21.822
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,28,353,80.527,0.795,0.424,0.939,0.6,28.818,17.466,21.2
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,29,312,85.776,0.912,0.83,0.897,0.371,33.521,13.74,19.931
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,30,474,91.598,0.558,0.565,0.95,0.605,28.907,23.995,24.567
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,31,105,43.556,0.846,0.009,0.905,0.618,16.837,8.988,11.562
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,32,486,97.29,0.779,0.767,0.94,0.523,33.523,21.034,24.876
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,33,407,83.012,0.619,-0.45,0.944,0.606,27.062,21.252,22.764
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,34,455,90.426,0.686,0.25,0.936,0.587,30.197,21.971,24.069
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,35,136,53.456,0.919,-0.342,0.889,0.515,21.996,8.651,13.159
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,36,218,63.941,0.869,1.209,0.92,0.524,25.127,12.416,16.66
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,37,111,49.799,0.938,1.397,0.874,0.536,21.29,7.395,11.888
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,38,258,69.598,0.834,1.167,0.942,0.531,25.81,14.258,18.124
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,39,150,52.456,0.859,-1.378,0.92,0.568,20.501,10.509,13.82
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,40,185,66.598,0.934,1.099,0.898,0.403,27.2,9.753,15.348
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,41,18,15.864,0.979,0.821,0.783,0.281,11.104,2.278,4.787
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,42,151,52.663,0.827,-1.413,0.921,0.572,19.515,10.976,13.866
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,43,4,2.207,0.975,1.263,0.8,0.5,4.68,1.047,2.257
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,top_left,void,44,40,32.314,0.985,1.236,0.833,0.336,17.776,3.03,7.136
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,part,0,38825,4112.142,0.109,-0.669,0.765,0.59,277.19,275.549,222.337
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,1,114,50.42,0.936,-1.063,0.905,0.438,21.606,7.63,12.048
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,2,132,48.213,0.732,-1.483,0.898,0.564,16.787,11.445,12.964
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,3,55,37.971,0.978,1.128,0.821,0.359,18.642,3.908,8.368
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,4,234,68.042,0.871,-1.183,0.929,0.585,26.391,12.954,17.261
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,5,189,59.456,0.839,1.158,0.917,0.573,22.323,12.162,15.513
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,6,299,83.29,0.906,-1.091,0.909,0.425,31.989,13.528,19.511
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,7,43,32.006,0.974,0.815,0.827,0.299,15.856,3.584,7.399
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,8,359,81.355,0.731,0.315,0.925,0.589,27.61,18.854,21.38
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,9,357,75.355,0.355,0.309,0.955,0.647,23.168,21.656,21.32
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,10,212,71.805,0.939,-1.11,0.918,0.416,29.619,10.213,16.429
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,11,263,90.012,0.97,0.394,0.913,0.375,39.311,9.509,18.299
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,12,365,76.77,0.453,1.165,0.938,0.635,23.944,21.349,21.558
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,13,391,103.705,0.943,0.399,0.907,0.404,41.604,13.891,22.312
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,14,464,85.841,0.599,1.181,0.963,0.644,28.501,22.812,24.306
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,15,306,78.426,0.89,-0.609,0.924,0.475,31.037,14.147,19.739
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,16,168,60.249,0.927,0.105,0.866,0.566,25.034,9.371,14.625
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,17,342,85.598,0.9,-1.105,0.919,0.509,33.535,14.608,20.867
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,18,588,110.569,0.89,-0.913,0.939,0.513,42.794,19.536,27.362
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,19,166,63.012,0.947,-0.742,0.943,0.377,27.183,8.711,14.538
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,20,582,102.669,0.749,-1.096,0.949,0.59,35.389,23.444,27.222
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,21,422,83.598,0.236,0.141,0.953,0.628,24.811,24.108,23.18
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,22,587,110.569,0.894,-0.939,0.938,0.498,43.467,19.466,27.338
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,23,80,35.728,0.815,0.167,0.93,0.667,13.954,8.076,10.093
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,24,224,71.012,0.923,0.758,0.926,0.423,28.957,11.117,16.888
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,25,444,89.012,0.426,1.113,0.933,0.587,26.801,24.247,23.776
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,26,341,76.184,0.783,1.112,0.947,0.601,27.599,17.157,20.837
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,27,117,48.385,0.922,-0.004,0.951,0.665,20.656,8.006,12.205
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,28,351,83.841,0.844,0.718,0.934,0.501,30.871,16.538,21.14
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,29,360,76.77,0.805,-1.438,0.981,0.683,29.182,17.295,21.409
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,30,313,79.598,0.879,1.398,0.926,0.558,30.569,14.577,19.963
2024-03-26_13-10-04-902_MV540-H@xWyHvMbxwzDCYCHtB+sRAABG.bmp,bottom_left,void,31,423,85.255,0.583,0.64,0.94,0.604,27.406,22.264,23.207
